pattern,normalized
*.Bucbi,.Bucbi
*.bud,.bud
*.budak,.budak
*.bufas,.bufas
*.bug,.bug
*.bugs,.bugs
*.bugware,.bugware
*.builder,.builder
*.bukyak,.bukyak
*.bulock*,.bulock
*.bumcoder,.bumcoder
*.bunny,.bunny
*.BuP!w3,.BuP!w3
*.burn,.burn
*.busavelock53,.busavelock53
*.BUSH,.BUSH
*.bvjznsjlo,.bvjznsjlo
*.bwall,.bwall
*.bxtyunh,.bxtyunh
*.bydes,.bydes
*.byee,.byee
*.byya,.byya
*.c0hen,.c0hen
*.C0rp0r@c@0Xr@,.C0rp0r@c@0Xr@
*.c0v,.c0v
*.C1024,.C1024
*.c1h,.c1h
*.c300,.c300
*.C3680868C,.C3680868C
*.C4H,.C4H
*.c8onnde,.c8onnde
*.cadq,.cadq
*.cago,.cago
*.caleb,.caleb
*.caley,.caley
*.calix,.calix
*.calum,.calum
*.cammora,.cammora
*.canadian,.canadian
*.Cancer,.Cancer
*.canihelpyou,.canihelpyou
*.cantopen,.cantopen
*.cap,.cap
*.capibara,.capibara
*.captcha,.captcha
*.carcn,.carcn
*.carlos,.carlos
*.carote,.carote
*.Carver,.Carver
*.cash,.cash
*.cashdashsentme@protonmail.com,.cashdashsentme@protonmail.com
*.CashRansomware,.CashRansomware
*.cassetto,.cassetto
*.cawwcca,.cawwcca
*.cbf,.cbf
*.cbs0z,.cbs0z
*.cbsoz,.cbsoz
*.cbu1,.cbu1
*.CC4H,.CC4H
*.ccc,.ccc
*.cccmn,.cccmn
*.CCCRRRPPP,.CCCRRRPPP
*.cccusawasted,.cccusawasted
*.ccd,.ccd
*.cceo,.cceo
*.ccl,.ccl
*.ccps,.ccps
*.ccryptor,.ccryptor
*.ccyu,.ccyu
*.ccza,.ccza
*.cdaz,.cdaz
*.cdcc,.cdcc
*.cdd,.cdd
*.cdmx,.cdmx
*.cdpo,.cdpo
*.cdqw,.cdqw
*.cdrpt,.cdrpt
*.cdtt,.cdtt
*.cdwe,.cdwe
*.cdxx,.cdxx
*.cebrc,.cebrc
*.cekisan,.cekisan
*.Celestial,.Celestial
*.cerber,.cerber
*.cerber2,.cerber2
*.cerber3,.cerber3
*.cerber6,.cerber6
*.Cerber_RansomWare@qq.com,.Cerber_RansomWare@qq.com
*.CerBerSysLocked0009881,.CerBerSysLocked0009881
*.CerberTear,.CerberTear
*.cesar,.cesar
*.cetori,.cetori
*.cezar,.cezar
*.cezor,.cezor
*.cfk,.cfk
*.cfm,.cfm
*.CGAIE,.CGAIE
*.chaddad,.chaddad
*.CHAK,.CHAK
*.charck,.charck
*.charcl,.charcl
*.charlie.j0hnson,.charlie.j0hnson
*.charm,.charm
*.charmant,.charmant
*.Charon,.Charon
*.Chartogy,.Chartogy
*.chch,.chch
*.CHE808,.CHE808
*.CHEAPLAMINATE,.CHEAPLAMINATE
*.chech,.chech
*.checkdiskenced,.checkdiskenced
*.checkmate,.checkmate
*.cheetah,.cheetah
*.chekyshka,.chekyshka
*.chernobyl,.chernobyl
*.chernolocker,.chernolocker
*.chewbacca,.chewbacca
*.chichi,.chichi
*.chifrator@qq_com,.chifrator@qq_com
*.Chimera,.Chimera
*.china,.china
*.ChinaYunLong,.ChinaYunLong
*.ChineseRarypt,.ChineseRarypt
*.chinz,.chinz
*.CHIP,.CHIP
*.chip1,.chip1
*.chld,.chld
*.chocolate,.chocolate
*.choda,.choda
*.CHRISTMAS,.CHRISTMAS
*.chsch,.chsch
*.chuk,.chuk
*.Chuklock,.Chuklock
*.ChupaCabra,.ChupaCabra
*.cifgksaffsfyghd,.cifgksaffsfyghd
*.ciop,.ciop
*.cip,.cip
*.cipher,.cipher
*.ciphered,.ciphered
*.CipherTrail,.CipherTrail
*.ciphx,.ciphx
*.cityzone-*,.cityzone-
*.cizer,.cizer
*.Cj,.Cj
*.CK,.CK
*.ckae,.ckae
*.Cl0p,.Cl0p
*.clay,.clay
*.clean,.clean
*.clear,.clear
*.clf,.clf
*.ClicoCrypter,.ClicoCrypter
*.clinton,.clinton
*.clman,.clman
*.clock,.clock
*.clocker,.clocker
*.Clone,.Clone
*.clop,.clop
*.C_L_O_P,.C_L_O_P
*.cloud,.cloud
*.Clouded,.Clouded
*.clown,.clown
*.club,.club
*.cmb,.cmb
*.cmblabs,.cmblabs
cmdRansomware.*,cmdRansomware.
*.CmdRansomware,.CmdRansomware
*CMG,CMG
*.CMLOCKER,.CMLOCKER
*.cmsnwned,.cmsnwned
*.cnc,.cnc
*.cnh,.cnh
*.CNMHR,.CNMHR
*.coaq,.coaq
*.coba,.coba
*.cobain,.cobain
*.cobra,.cobra
*.CockBlocker,.CockBlocker
*.cock.email,.cock.email
*@cock.email,@cock.email
*.cockista,.cockista
*.cock.li,.cock.li
*@cock.li*,@cock.li
*@cock_li,@cock_li
*@cock.lu*,@cock.lu
*.cockroach,.cockroach
*.code,.code
*.coded,.coded
*.coderCrypt,.coderCrypt
*.codnat,.codnat
*.codnat1,.codnat1
*.codnet,.codnet
*.codnet1,.codnet1
*.coffee,.coffee
*.coharos,.coharos
*.coin,.coin
*.CoinVault,.CoinVault
*.coka,.coka
*.colambia,.colambia
*.colony96,.colony96
*.colorit,.colorit
*.com2,.com2
*.combo,.combo
*.combo13,.combo13
*.commonransom,.commonransom
*.comrade,.comrade
*.con30,.con30
*.condat,.condat
*.conficker,.conficker
*.consciousness,.consciousness
*.cont,.cont
*.Contacto,.Contacto
*.contactus,.contactus
*.conti,.conti
*.cooked,.cooked
*.cookieshelper,.cookieshelper
*.cool,.cool
*.coom,.coom
*.coos,.coos
*.Cooseagroup,.Cooseagroup
*.coot,.coot
*.copa,.copa
*.copan,.copan
*.cope,.cope
*.core,.core
*.corona,.corona
*CoronaCrypt*,CoronaCrypt
*.corona-lock,.corona-lock
*.coronalock,.coronalock
*.coronavirus,.coronavirus
*.corp,.corp
*.corrupt,.corrupt
*.CorruptCrypt,.CorruptCrypt
*.corrupted,.corrupted
*.Cortizol,.Cortizol
*.cosakos,.cosakos
*.cosd,.cosd
*.Cossy,.Cossy
*.cosw,.cosw
*.coty,.coty
*.country82000,.country82000
*.CoV,.CoV
*.cov19,.cov19
*.coverton,.coverton
*.covid,.covid
*.covid-19,.covid-19
*.covid21,.covid21
*.covm,.covm
*.cowa,.cowa
*.cprt,.cprt
*.CQQUH,.CQQUH
*.cqscsfy,.cqscsfy
*.CQXGPMKNR,.CQXGPMKNR
*.cr020801,.cr020801
*.cr1,.cr1
*.crlk,.crlk
*.Cr1ptT0r,.Cr1ptT0r
*.craa,.craa
*.crab,.crab
*.crabs,.crabs
*.crabslkt,.crabslkt
*.crack,.crack
*.cracker,.cracker
*.cradle,.cradle
*.CradleCore,.CradleCore
*.craftul,.craftul
*.crash,.crash
*.crashed,.crashed
*.craxsrat,.craxsrat
*.crazy,.crazy
*.CreamPie,.CreamPie
*.credo,.credo
*.creeper,.creeper
*.creepy,.creepy
*.CRFILE2,.CRFILE2
*.cRh8,.cRh8
*.crime,.crime
*.crimson,.crimson
*.crinf,.crinf
*.cring,.cring
*.cripted,.cripted
*@criptext.com*,@criptext.com
*.criptiko,.criptiko
*.cripto,.cripto
*.CRIPTOGRAFADO,.CRIPTOGRAFADO
*.criptokod,.criptokod
*.cripton,.cripton
*.Cripton7zp,.Cripton7zp
*.cripttt,.cripttt
*.crjocker,.crjocker
*.crjoker,.crjoker
*.croc,.croc
*.CrocodileSmile,.CrocodileSmile
*.crone,.crone
*.CroNi.ZoNe,.CroNi.ZoNe
*.crow,.crow
*.crown,.crown
*.CRP,.CRP
*.crptd,.crptd
*.crptrgr,.crptrgr
*.crptxxx,.crptxxx
*.CRRRT,.CRRRT
*.cruel,.cruel
*.crxx,.crxx
*.cry,.cry
*.Cry128,.Cry128
*.Cry36,.Cry36
*.Cry9,.Cry9
*.Cryakl,.Cryakl
*.crybrazil,.crybrazil
*.CryCryptor,.CryCryptor
*.cryeye,.cryeye
*.CryFile,.CryFile
*.CryForMe,.CryForMe
*.crying,.crying
*.CryLocker,.CryLocker
*.crynox,.crynox
*.CrYo,.CrYo
